0,25,0,Outgoing,732204.802211
0,25,0,Outgoing,732204.802315
1,1,1,Outgoing,732263.556123
1,5,15,Outgoing,732165.995775
1,5,22,Outgoing,732166.013345
1,5,24,Outgoing,732166.034306
1,5,7,Outgoing,732166.075324
1,5,20,Outgoing,732166.07559
1,5,7,Outgoing,732170.111991
1,5,7,Outgoing,732174.896736
1,5,85,Incoming,732174.89735
1,5,11,Outgoing,732181.049387
1,5,7,Outgoing,732181.083472
1,5,6,Outgoing,732181.970938
1,5,54,Incoming,732187.983032
1,5,0,Incoming,732188.083681
1,5,8,Outgoing,732188.087731
1,5,8,Outgoing,732188.195868
1,5,15,Outgoing,732188.196227
1,5,0,Outgoing,732188.207037
1,5,30,Incoming,732190.685046
1,5,22,Outgoing,732190.717674
1,5,27,Outgoing,732190.865382
1,5,7,Outgoing,732190.89191
1,5,12,Outgoing,732190.896146
1,5,18,Incoming,732190.896597
1,5,13,Outgoing,732192.175683
1,5,22,Incoming,732192.237234
1,5,65,Incoming,732194.123229
1,5,34,Outgoing,732194.164687
1,5,7,Outgoing,732194.176944
1,5,0,Outgoing,732194.2114
1,5,6,Outgoing,732202.443322
1,5,18,Outgoing,732204.025648
1,5,7,Outgoing,732205.192917
1,5,6,Outgoing,732205.204583
1,5,49,Outgoing,732205.267049
1,5,56,Incoming,732205.60787
1,5,0,Incoming,732207.870822
1,5,38,Incoming,732207.994977
1,5,27,Outgoing,732208.010741
1,5,14,Incoming,732208.014213
1,5,59,Outgoing,732234.233854
1,5,92,Incoming,732236.132697
1,5,18,Incoming,732236.161771
1,5,375,Incoming,732236.42794
1,5,75,Incoming,732238.368426
1,5,109,Outgoing,732240.206933
1,5,37,Outgoing,732240.239838
1,5,42,Outgoing,732240.814201
1,5,7,Incoming,732241.254109
1,5,10,Outgoing,732241.294109
1,5,11,Outgoing,732241.300544
1,5,33,Incoming,732241.332685
1,5,16,Outgoing,732248.329699
1,5,73,Outgoing,732248.333403
1,5,7,Outgoing,732250.755301
1,5,6,Outgoing,732250.766794
1,5,9,Outgoing,732250.826806
1,5,250,Outgoing,732251.061817
1,5,0,Outgoing,732251.097963
1,5,39,Incoming,732251.114641
1,5,13,Incoming,732251.14728
1,5,25,Outgoing,732251.278704
1,5,54,Outgoing,732251.308947
1,5,3,Outgoing,732251.325486
1,5,4,Outgoing,732251.32875
1,5,11,Outgoing,732251.342014
1,5,192,Incoming,732251.351412
1,5,70,Outgoing,732264.126875
1,5,15,Incoming,732264.134942
1,5,17,Outgoing,732264.953044
1,5,0,Outgoing,732272.854456
1,5,26,Incoming,732285.885764
1,5,88,Outgoing,732288.185058
1,5,31,Incoming,732289.867593
1,5,0,Incoming,732295.250475
1,5,12,Outgoing,732295.25081
1,5,111,Outgoing,732298.149132
1,5,74,Outgoing,732298.217801
1,5,36,Incoming,732298.280185
1,5,10,Outgoing,732298.950313
1,5,128,Outgoing,732298.979757
1,5,330,Outgoing,732299.380336
1,5,43,Incoming,732318.207037
1,5,0,Incoming,732318.216956
1,5,0,Incoming,732318.221852
1,5,7,Outgoing,732320.960729
1,5,28,Outgoing,732324.073646
1,5,5,Outgoing,732324.074444
1,5,45,Incoming,732325.236238
1,5,4,Outgoing,732327.339317
1,5,24,Outgoing,732327.897257
1,5,6,Outgoing,732327.923553
1,5,7,Outgoing,732328.058738
1,5,6,Outgoing,732328.791505
1,5,179,Outgoing,732330.857905
1,5,359,Incoming,732330.860625
1,5,19,Outgoing,732334.06919
1,5,7,Outgoing,732334.124757
1,5,303,Outgoing,732334.942361
1,5,244,Outgoing,732335.232975
1,5,13,Outgoing,732337.807616
1,5,199,Outgoing,732338.752558
1,5,51,Outgoing,732359.675012
1,5,0,Incoming,732366.999792
1,5,18,Outgoing,732367.029479
1,5,53,Incoming,732367.033414
1,5,7,Outgoing,732369.866644
1,5,0,Outgoing,732369.981227
